1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
22.91,11.98,10.11,6.23,6.95,7.02,12.7,14.82,12.65,10.38,11.13,14.31,8.65,12.7,11.38,9.09,11.28,14.15,11.62,13.54,12.68,12.67,12.41,7.56
7.57,9.28,12.4,13.37,13.66,9.1,10.52,13.2,14.32,13.22,12.23,10.47,9.03,7.28,7.86,5.95,6.34,8.06,8.67,10.17,13.14,13.05,16.22,17.95
16.61,15.39,13.53,13.52,14.52,11.19,13.47,13.87,11.69,16.41,14.18,13.85,17.32,16.74,16.66,16.66,15.78,13.35,12.79,12.32,14.1,15.96,16.03,13.86
11.48,9.97,8.18,8.39,9.28,9.47,11.63,10.02,7.96,4.68,3.16,2.54,2.38,4.03,6.17,8.62,11.11,11.76,10.98,11.02,9.51,11.18,12.8,11.23
10.48,10.99,9.76,6.34,4.86,4.91,5.37,5.54,4.44,1.53,0.95,1.27,2.71,2.57,3.8,5.17,6.82,7.75,12.64,20.68,20.64,18.75,16.36,12.18
10.81,10.21,9.83,10.03,10.03,9.64,10.09,6.94,6.85,7.45,7.81,11.06,11.43,11.24,9.98,8.54,8.32,10.93,12.53,20.05,24.01,23.87,20.78,17.12
13.78,9.2,6.96,6.7,5.45,3.23,2.5,1.83,2.98,4.29,3.31,1.29,0.41,0,-0.01,-0.01,0.01,0.09,0.19,0.18,-0.01,-0.01,0.19,0
0.2,0.54,0.26,0.12,0.21,0.41,1.1,2.81,4.19,2.45,2,1.44,1.9,2.22,2.6,2.84,3.11,2.79,1.74,1.09,1.48,2.46,2.75,2.72
3.37,4.26,3.69,4.34,4.28,4.2,3.36,1.87,2.17,2.61,2.66,2.69,2.84,3.5,4.59,5.56,5.96,6.6,10.1,12.11,13.24,11.98,13.94,11.29
12,14.43,12.93,9.01,8.14,6.9,4.12,4.3,2.89,3.04,1.8,2.34,2.18,2.62,3.2,2.62,3.21,2.94,2.39,2.9,1.21,1.54,1.69,2.37
2.85,2.87,3.44,4.67,2.97,3.11,3.35,3.15,5.97,8.87,7.74,9.98,8.77,7.66,12.24,10.52,8.79,10.5,14.59,15.6,7.98,10.16,13.77,18.9
16.94,12,10.49,8.69,8.35,8.53,9.02,10.23,17.19,25.05,23.91,23.38,22.44,22.42,21.44,15.59,13.13,13.76,15.15,15.35,15.74,11.96,12.82,12.05
6.61,7.02,2.89,1.53,0,0.04,0,-0.01,0.06,0,0.26,0.54,0.58,1.03,2.51,4.57,4.61,3.88,3.82,3.19,5.67,6.06,7.12,7.78
7.57,10.43,13.31,16.24,16.4,19.42,18.2,17.42,11.33,11.49,7.89,4.91,3.09,2.64,2.31,1.27,1.15,0.73,0.45,0.37,0.5,0.64,1.25,1.89
2.89,3.58,4.65,4.68,5.76,9.22,11.75,11.3,10.15,9.17,7.45,7.9,6.3,8.1,8.4,5.99,6.09,8.2,13.77,13.09,10.52,8.86,6.72,5.23
2.34,1.74,1.54,1.56,1.99,1.57,1.33,2.14,2.86,2.28,1.17,1.93,3.39,2.44,2.65,4.86,6.85,9.54,11.18,9.84,5.94,8.07,10.63,11.93
10.04,11.74,10.63,13.93,14.94,11.38,12.82,13.48,14.43,14.6,18.84,19.1,20.9,23.84,22.39,23.68,21.11,22.94,21.12,14.65,14.47,13.4,16.43,14.7
12.96,12.48,12.2,11.89,9.87,5.84,5.54,4.21,1.57,1.47,1.35,1.76,2.66,3.38,2.63,1.85,2.82,5.45,5.71,6.99,8.34,7.47,7.33,6.57
4.86,7.21,5.16,4.65,5.11,4.15,4.74,2.94,1.81,1.78,1.51,1.26,1.26,1.46,1.36,1.77,1.98,1.36,1.21,0.98,0.88,0.89,0.88,0.89
0.87,0.91,1.1,1.01,1.15,1,1.12,1.03,0.92,1.19,1.65,1.6,1.5,1.94,1.81,1.76,1.62,1.99,1.41,1.59,1.19,1.14,0.9,0.96
1.69,3.83,5.44,1.58,3.08,3.46,2.09,3.53,5.62,2.08,5.57,12.02,17,16.68,16.63,16.35,17.83,19.71,19.03,18.19,17.94,17.5,17.29,15.82
13.41,12.53,12.72,11.22,10.27,8.33,8.9,6.95,6.11,3.97,2.79,0.5,0.14,0.6,0.66,1.05,0.86,0.8,0.96,0.98,1.92,2.8,4.81,5.04
6.66,6.95,10.98,8.86,9.72,12.79,13.19,14.37,12.45,15.12,17.58,16.9,17.8,19.19,18.32,17.36,17.52,16.5,16.15,12.89,13.25,14.66,15.11,15.52
15.72,12.54,12.59,8.52,7.75,8.5,8.69,12.44,13.02,9.51,4.98,4.79,2.61,3.43,3.24,3.69,3.08,4.12,6.01,7.45,13.88,9.6,12.77,14.87
14.06,14.48,11.61,11.77,8.56,12.2,14.65,15.93,16.14,13.41,13.9,12.2,13.46,13.23,18.52,15.02,16.47,16.6,21.13,23.24,20.21,20.87,18.46,18.82
20.71,20.43,15.96,13.93,13.07,8.71,8.43,14.37,14.74,17.21,20.86,24.19,25.1,25.29,24.12,21.49,16.01,12.59,14.11,13.04,10.64,9.7,9.74,7.98
8.26,16.93,17.69,18.55,16.92,13.48,14.9,10.6,12.16,9.29,8.53,7.4,6.21,6.84,4.11,1.99,3.15,6.07,6.25,6.65,8.37,6.55,6.08,9.49
10.08,10.75,9.79,9.48,8.56,6.63,3.73,7.57,9.1,8.87,9.76,10.87,11.98,11.72,11.37,11.44,11.51,9.84,9.87,18.18,26.05,25.83,20.44,14.25
12.09,8.83,7.05,6.5,6.15,6.76,9.89,14.4,19.6,18.11,17.41,16.26,13.02,9.96,10.01,8.28,4.65,4.06,2.65,2.1,0.61,1.21,3.16,3.96
4.09,9.73,14.34,14.07,11.78,11.29,12.37,13.97,18.6,19.46,18.24,17.81,17.96,18.83,19.25,17.15,18.33,19.16,18.76,18.4,19.15,20.29,20.68,17
13.61,12.43,12.49,11.64,12.7,11.29,11.01,11.06,10.3,10.02,9.51,9.24,9.53,9.15,9.76,9.98,10.32,10.49,10.36,10.64,11.07,10.73,10.61,9.98
9.62,9.52,10.28,9.95,12.28,11.61,12.14,11.89,9.81,8.24,8.29,8.07,8.9,9.7,8.87,9.98,12.63,12.9,12.02,12.36,9.63,9.33,9.88,8.45
8.71,8.4,9.22,10.41,13.25,12.67,10.67,9.66,8.57,8.38,8.81,7.73,7.18,6.49,6.4,5.5,6.57,4.67,4.6,3.96,3.21,6.05,7.46,8.97
4.71,3.31,3.03,4.65,5.08,6.42,6.39,7.23,9.27,14.31,14.06,8.46,10.43,7.42,6.26,4.43,6.37,5.75,5.05,6.4,7.84,7.49,8.24,8.87
8.95,9.96,8.96,7.03,9.36,8.91,11.22,15.68,18.51,18.85,19.78,19.75,19.03,18.85,18.55,11.82,15.82,20.41,19.28,18.32,19.7,18.26,14.73,10.57
10.07,9.7,9.87,9.26,8.58,8.88,7.74,7.08,6.54,8.46,8.09,7.09,10.3,15.4,18.34,21.63,24.22,25.51,24.48,23.92,23.96,19.74,16.97,14.59
13.25,14.44,15.8,15.11,13.27,17.11,22.61,24.43,23.57,22.07,24.25,21.68,21.05,19.75,17.81,19.65,19.79,19.22,18.97,18.9,16.31,16.71,16.61,13.52
18.46,17.93,16.08,15.57,14.02,12.15,12.4,12.43,11.57,11,12.1,13.21,15.42,14.78,11.13,9.38,8.14,6.03,7.55,4.84,3.41,5.33,4.77,4.95
3.93,4.15,5.53,5.43,4.86,4.81,4.72,9.41,10.58,11.74,10.94,9.35,6.72,4.03,2.5,2.28,2.34,2.27,2.21,2.19,2.21,2.19,2.24,2.2
2.21,2.29,2.48,2.76,3.23,4.67,3.25,10.95,7.57,7.24,9.94,8.64,6.09,3.73,4.1,6.35,7.07,6.44,7.16,3.87,3.66,4.95,13.43,8.67
11.93,9.11,5.84,4.58,3.06,2.87,3.21,3.46,5.07,6.38,6.48,7.62,11.02,8.23,5.09,4.92,4.82,6.22,5.53,7.39,10.61,16.32,13.15,11.55
16.86,12.62,14.69,15.67,12.81,11.07,7.65,9.24,6.81,4.84,5.76,5.86,6.83,6.47,7.03,6.68,4.57,4.11,3.19,3.69,5.46,3.47,4.45,8.7
7.47,8.49,7.38,4.05,3.5,4.22,3.38,5.43,8.61,11.05,14.81,17.83,15.74,15.48,13.02,10.63,7.57,11.39,17,19.02,18.64,19.64,17.9,15.38
13.63,13.52,12.67,12.57,12.51,12.76,13.9,16.91,18.86,17.94,17.55,18.74,18.18,17.95,17.09,16.15,14.93,15.3,16.21,16.23,18.35,16.56,14.49,12.11
10.69,8.88,8.61,8.54,8.48,8.65,8.61,9.24,15.35,14.98,14.28,14.04,14.85,15.12,16.67,14.49,12.07,16.03,14.23,9.18,9.94,9.88,6.34,4.2
3.69,5.45,4.4,3.47,3.67,5.91,7.72,10.78,15.69,18.99,19.93,16.18,15.98,18.58,20.75,20.59,19.22,18.79,15.4,11.95,9.94,10.25,7.68,6.54
4.37,3.45,1.71,1.18,1.19,1.1,1.2,0.8,0.16,0.03,0.09,0.58,0.98,2.14,3.96,3.88,2.95,1.62,1.76,0.97,0.39,0.59,1.09,0.69
0.11,0.12,0.43,1.08,0.92,1.5,2.7,2.23,1.97,1.52,1.22,1.36,1.48,1.87,2.31,1.94,1.89,1.29,0.67,0.2,0.21,1.1,1.04,1.63
